Msg Timestamp,Message,Time,Unit of Measurement,Timing Source,Event Level,Event Identifier
0,BACKEND,8561,US,BACKEND,ROOT,RPC (finalize) time
0,BACKEND,7901,US,BACKEND,ROOT,QNN accelerator (finalize) time
0,BACKEND,7781,US,BACKEND,ROOT,Accelerator (finalize) time
0,FINALIZE,660286,US,BACKEND,ROOT,QNN (finalize) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1288,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,913,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,857,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,2862,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1143,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,826,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,773,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,618,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1205,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1182,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,829,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,778,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,622,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1273,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1195,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,593,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,574,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1273,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1135,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,834,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,781,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,621,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1213,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1000,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,623,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,593,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,575,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1121,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1239,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,844,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,787,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,631,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1330,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1219,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,838,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,780,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,619,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1321,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,890,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,617,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,588,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,569,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,968,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1221,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,840,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,786,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,627,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1373,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1191,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,826,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,770,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,619,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1292,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,902,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,591,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,990,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1146,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,829,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,777,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,621,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1245,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,7979,US,BACKEND,ROOT,RPC (finalize) time
0,BACKEND,7539,US,BACKEND,ROOT,QNN accelerator (finalize) time
0,BACKEND,7424,US,BACKEND,ROOT,Accelerator (finalize) time
0,FINALIZE,654259,US,BACKEND,ROOT,QNN (finalize) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1278,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,898,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,845,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,610,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,2192,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,887,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,620,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,959,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1244,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,820,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,768,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1363,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1291,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,823,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,770,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1465,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,909,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,618,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,589,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,570,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,991,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1114,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,823,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,771,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1173,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,989,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,622,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1051,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1230,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,818,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,763,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,611,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1631,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1187,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,841,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,785,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,628,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1258,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,947,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,590,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1037,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1172,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,817,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,764,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,612,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1251,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,879,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,619,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,571,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,967,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1186,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,823,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,773,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,614,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1309,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1127,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,826,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,775,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,619,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1181,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,882,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,617,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,590,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,569,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,959,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1194,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,880,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,830,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,620,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1268,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,863,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,593,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,573,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,924,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1142,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,827,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,772,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,617,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1213,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1131,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,828,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,773,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1193,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,882,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,619,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,571,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,949,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1163,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,822,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,768,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,616,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1233,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1148,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,825,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,772,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,619,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1239,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,909,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,625,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,595,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,576,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1007,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1131,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,824,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,771,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1203,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,996,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,618,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,571,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1052,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1105,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,817,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,765,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,610,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1170,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1191,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,814,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,761,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,611,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1258,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,878,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,619,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,591,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,573,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,964,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1147,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,817,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,765,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,611,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1213,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,848,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,595,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,575,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,905,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1217,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,876,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,825,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1303,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1122,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,825,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,771,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,618,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1178,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,857,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,616,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,589,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,571,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,932,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1159,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,821,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,769,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,618,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1237,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,861,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,621,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,593,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,574,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,911,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1188,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,822,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,768,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,616,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1282,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1169,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,827,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,768,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,613,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1224,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,887,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,619,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,590,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,571,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,966,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1158,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,828,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,773,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,614,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1241,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1101,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,815,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,764,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,613,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1204,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,869,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,622,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,593,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,921,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1162,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,815,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,765,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,613,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1238,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,879,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,624,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,596,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,576,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,937,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1182,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,821,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,771,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,615,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1257,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1152,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,833,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,779,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,619,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1222,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,984,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,687,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,656,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,580,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1073,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1111,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,811,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,759,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,610,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1194,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,856,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,619,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,592,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,572,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,933,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1139,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,816,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,762,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,608,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1202,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1474,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,835,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,780,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,624,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,1545,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,902,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,624,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,594,US,BACKEND,ROOT,Accelerator (execute) time
0,BACKEND,575,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
0,EXECUTE,961,US,BACKEND,ROOT,QNN (execute) time
0,BACKEND,4,COUNT,BACKEND,ROOT,Number of HVX threads used
0,BACKEND,1220,US,BACKEND,ROOT,RPC (execute) time
0,BACKEND,824,US,BACKEND,ROOT,QNN accelerator (execute) time
0,BACKEND,771,US,BACKEND,ROOT,Accelerator (execute) time
